Sku,shipping_operation,ACT,NSW,NT,QLD,SA,TAS,VIC,WA
BF1008-D-BG,Free,0,0,0,0,0,0,0,0
BF1012-K-BE,Free,0,0,0,0,0,0,0,0
CC1010-AB,Free,0,0,0,0,0,0,0,0
CH1007-4-WH,Free,0,0,0,0,0,0,0,0
E0096,Free,0,0,0,0,0,0,0,0
E0096-D,Free,0,0,0,0,0,0,0,0
E0096-Q,Free,0,0,0,0,0,0,0,0
E0125-L,Free,0,0,0,0,0,0,0,0
E0125-M,Free,0,0,0,0,0,0,0,0
E0125-XL,Free,0,0,0,0,0,0,0,0
E0125-XXL,Free,0,0,0,0,0,0,0,0
E0125-XXXL,Free,0,0,0,0,0,0,0,0
EA0247,Free,0,0,0,0,0,0,0,0
EA0247x2,Free,0,0,0,0,0,0,0,0
EC0105-WH,Free,0,0,0,0,0,0,0,0
EE1501,Free,0,0,0,0,0,0,0,0
EE1501-D,Free,0,0,0,0,0,0,0,0
EE1501-K,Free,0,0,0,0,0,0,0,0
EE1501-KS,Free,0,0,0,0,0,0,0,0
EE1501-Q,Free,0,0,0,0,0,0,0,0
EE1503-SK,Free,0,0,0,0,0,0,0,0
EE1504-D,Free,0,0,0,0,0,0,0,0
EE1504-K,Free,0,0,0,0,0,0,0,0
EE1504-KS,Free,0,0,0,0,0,0,0,0
EE1504-Q,Free,0,0,0,0,0,0,0,0
EE1504-S,Free,0,0,0,0,0,0,0,0
EE1504-SK,Free,0,0,0,0,0,0,0,0
GI0085-Orange,Free,0,0,0,0,0,0,0,0
GI0085-Pink,Free,0,0,0,0,0,0,0,0
JB1007-WH,Free,0,0,0,0,0,0,0,0
JB1008-LED-BK,Free,0,0,0,0,0,0,0,0
MS1002-S,Free,0,0,0,0,0,0,0,0
OF1011,Statebased,,,,,,,,
SC1002-BG,Free,0,0,0,0,0,0,0,0
SC1002-GR,Free,0,0,0,0,0,0,0,0
SC1003-BG,Free,0,0,0,0,0,0,0,0
SC1004-BG,Free,0,0,0,0,0,0,0,0
T4463,Free,0,0,0,0,0,0,0,0
TB1008,Free,0,0,0,0,0,0,0,0
EC1012,Free,0,0,0,0,0,0,0,0
EE1507-D,Free,0,0,0,0,0,0,0,0
FU6002-BK,Free,0,0,0,0,0,0,0,0
COMDESK-EL-1001,Free,0,0,0,0,0,0,0,0
BF1012-D-DG,Free,0,0,0,0,0,0,0,0
BF1012-D-GR,Free,0,0,0,0,0,0,0,0
BF1012-K-DG,Free,0,0,0,0,0,0,0,0
BF1012-Q-DG,Free,0,0,0,0,0,0,0,0
HW0020-BK,Free,0,0,0,0,0,0,0,0
HW0020-WH,Free,0,0,0,0,0,0,0,0
EA0268-BK,Free,0,0,0,0,0,0,0,0
EA0268-GR,Free,0,0,0,0,0,0,0,0
T4498-TL,Free,0,0,0,0,0,0,0,0
UM3002-3-BA,Free,0,0,0,0,0,0,0,0
UM3002-3-BK,Free,0,0,0,0,0,0,0,0
UM3002-8-BK,Free,0,0,0,0,0,0,0,0
SC1002-BR,Free,0,0,0,0,0,0,0,0
HD0045-2,Free,0,0,0,0,0,0,0,0
BF1004-Q-BK,Free,0,0,0,0,0,0,0,0
BF1004-Q-WH,Free,0,0,0,0,0,0,0,0
BR1016-S,Free,0,0,0,0,0,0,0,0
CH1021-BE,Free,0,0,0,0,0,0,0,0
CH1022-BE,Free,0,0,0,0,0,0,0,0
DC1001,Free,0,0,0,0,0,0,0,0
EC0904-BK,Free,0,0,0,0,0,0,0,0
MP1002-KS,Free,0,0,0,0,0,0,0,0
OF1006-SILVER,Free,0,0,0,0,0,0,0,0
BO1017-BL,Free,0,0,0,0,0,0,0,0
EC1013,Free,0,0,0,0,0,0,0,0
UM3002-3-GR,Free,0,0,0,0,0,0,0,0
UM3002-3-NT,Free,0,0,0,0,0,0,0,0
UM3002-4-BK,Free,0,0,0,0,0,0,0,0
UM3002-4-BL,Free,0,0,0,0,0,0,0,0
UM3002-6-BL,Free,0,0,0,0,0,0,0,0
UM3002-6-NT,Free,0,0,0,0,0,0,0,0
UM3002-8-BA,Free,0,0,0,0,0,0,0,0
UM3002-8-BL,Free,0,0,0,0,0,0,0,0
UM3002-8-NT,Free,0,0,0,0,0,0,0,0
BK1008-9KGS-BL,Free,0,0,0,0,0,0,0,0
BK1008-9KGS-MK,Free,0,0,0,0,0,0,0,0
BK1008-D-BL,Free,0,0,0,0,0,0,0,0
BK1008-D-MK,Free,0,0,0,0,0,0,0,0
EB0604,Free,0,0,0,0,0,0,0,0
BO1017-PK,Free,0,0,0,0,0,0,0,0
EC1011-1PK,Free,0,0,0,0,0,0,0,0
EC1011-2PK,Free,0,0,0,0,0,0,0,0
EC1014,Free,0,0,0,0,0,0,0,0
FH0309,Free,0,0,0,0,0,0,0,0
HO0477,Free,0,0,0,0,0,0,0,0
E0153,Free,0,0,0,0,0,0,0,0
BD1001-2M-D,Free,0,0,0,0,0,0,0,0
BK1008-11kgs-DP,Free,0,0,0,0,0,0,0,0
BK1008-9KGS-DP,Free,0,0,0,0,0,0,0,0
CBR002,Free,0,0,0,0,0,0,0,0
CBS005,Free,0,0,0,0,0,0,0,0
CBS008,Free,0,0,0,0,0,0,0,0
CBS009,Free,0,0,0,0,0,0,0,0
CBS013,Free,0,0,0,0,0,0,0,0
